AirlineCode,AirlineName,AirportCode,AirportName,Count_Arrivals,Count_ArrFlights_Delayed15PlusMin,Count_Airline_Delay,Count_Weather_Delay,Count_NAS_Delay,Count_Security_Delay,Count_LateAircraft_Delay,Count_Arrivals_Cancelled,Count_Arrivals_Diverted,TotalMinutes_Arrivals_Delay,TotalMinutes_Airline_Delay,TotalMinutes_Weather_Delay,TotalMinutes_NAS_Delay,TotalMinutes_Security_Delay,TotalMinutes_LateAircraft_Delay
9E,Endeavor Air Inc. (Delta Air Lines),ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",88,5,1.7799999713897705,0,0.8600000143051147,0,2.359999895095825,0,0,424,212,0,81,0,131
9E,Endeavor Air Inc. (Delta Air Lines),ABY,"Albany, GA: Southwest Georgia Regional",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9E,Endeavor Air Inc. (Delta Air Lines),AEX,"Alexandria, LA: Alexandria International",62,6,2.680000066757202,0,2.690000057220459,0,0.6299999952316284,0,0,218,121,0,66,0,31
9E,Endeavor Air Inc. (Delta Air Lines),AGS,"Augusta, GA: Augusta Regional at Bush Field",129,11,5.489999771118164,0,2.700000047683716,0,2.809999942779541,0,0,546,341,0,93,0,112
9E,Endeavor Air Inc. (Delta Air Lines),ALB,"Albany, NY: Albany International",111,16,3.2699999809265137,1,4.630000114440918,0.20000000298023224,6.909999847412109,0,1,626,156,37,108,12,313
9E,Endeavor Air Inc. (Delta Air Lines),ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2153,235,58.13999938964844,5.329999923706055,68.91000366210938,0,102.61000061035156,0,0,14986,5929,697,2016,0,6344
9E,Endeavor Air Inc. (Delta Air Lines),AUS,"Austin, TX: Austin - Bergstrom International",78,12,5.170000076293945,0,4.409999847412109,0,2.4200000762939453,0,0,613,374,0,149,0,90
9E,Endeavor Air Inc. (Delta Air Lines),AVL,"Asheville, NC: Asheville Regional",31,1,0,0,1,0,0,0,0,30,0,0,30,0,0
9E,Endeavor Air Inc. (Delta Air Lines),BDL,"Hartford, CT: Bradley International",55,5,1.0499999523162842,0,1.559999942779541,0,2.390000104904175,0,0,260,26,0,61,0,173
9E,Endeavor Air Inc. (Delta Air Lines),BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31,3,2,0,1,0,0,0,2,45,30,0,15,0,0
9E,Endeavor Air Inc. (Delta Air Lines),BGR,"Bangor, ME: Bangor International",93,14,5.690000057220459,1.8700000047683716,1.600000023841858,0,4.829999923706055,0,0,2589,268,1705,161,0,455
9E,Endeavor Air Inc. (Delta Air Lines),BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",89,11,5.860000133514404,0,0.5799999833106995,0,4.559999942779541,0,0,653,254,0,14,0,385
9E,Endeavor Air Inc. (Delta Air Lines),BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62,10,6.710000038146973,0.949999988079071,0.49000000953674316,0,1.850000023841858,0,0,962,181,663,49,0,69
9E,Endeavor Air Inc. (Delta Air Lines),BNA,"Nashville, TN: Nashville International",129,21,10.59000015258789,0,4.289999961853027,0,6.119999885559082,0,0,1552,1088,0,86,0,378
9E,Endeavor Air Inc. (Delta Air Lines),BQK,"Brunswick, GA: Brunswick Golden Isles",45,3,2,0.7599999904632568,0.11999999731779099,0,0.12999999523162842,0,0,193,74,90,14,0,15
9E,Endeavor Air Inc. (Delta Air Lines),BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",33,2,0.38999998569488525,0.8500000238418579,0.44999998807907104,0,0.30000001192092896,0,0,50,9,23,11,0,7
9E,Endeavor Air Inc. (Delta Air Lines),BTV,"Burlington, VT: Burlington International",144,20,9.34000015258789,0,2.1700000762939453,0,8.489999771118164,0,1,1751,547,0,100,0,1104
9E,Endeavor Air Inc. (Delta Air Lines),BUF,"Buffalo, NY: Buffalo Niagara International",116,7,3.430000066757202,0,0.6200000047683716,0,2.9600000381469727,0,1,386,189,0,18,0,179
9E,Endeavor Air Inc. (Delta Air Lines),BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62,8,2,0,2.740000009536743,0,3.259999990463257,0,0,269,65,0,51,0,153
9E,Endeavor Air Inc. (Delta Air Lines),CAE,"Columbia, SC: Columbia Metropolitan",83,11,7.900000095367432,0,2.1500000953674316,0,0.949999988079071,0,0,755,643,0,73,0,39
9E,Endeavor Air Inc. (Delta Air Lines),CHA,"Chattanooga, TN: Lovell Field",60,6,4.480000019073486,0,0.05999999865889549,0,1.4600000381469727,0,0,277,179,0,5,0,93
9E,Endeavor Air Inc. (Delta Air Lines),CHO,"Charlottesville, VA: Charlottesville Albemarle",144,19,9.039999961853027,0,1.149999976158142,0,8.800000190734863,0,0,1219,673,0,53,0,493
9E,Endeavor Air Inc. (Delta Air Lines),CHS,"Charleston, SC: Charleston AFB/International",110,15,1.8600000143051147,0,5.320000171661377,0,7.820000171661377,0,0,685,65,0,209,0,411
9E,Endeavor Air Inc. (Delta Air Lines),CLE,"Cleveland, OH: Cleveland-Hopkins International",264,34,11.880000114440918,0,8.239999771118164,0,13.880000114440918,0,0,2299,849,0,299,0,1151
9E,Endeavor Air Inc. (Delta Air Lines),CLT,"Charlotte, NC: Charlotte Douglas International",196,24,11.149999618530273,0.6000000238418579,3.309999942779541,0,8.9399995803833,0,0,1487,904,29,113,0,441
9E,Endeavor Air Inc. (Delta Air Lines),CMH,"Columbus, OH: John Glenn Columbus International",44,6,1.440000057220459,0,3.7799999713897705,0,0.7799999713897705,0,0,413,90,0,207,0,116
9E,Endeavor Air Inc. (Delta Air Lines),CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",64,6,1,0,3.0999999046325684,1,0.8999999761581421,0,1,131,19,0,69,15,28
9E,Endeavor Air Inc. (Delta Air Lines),CSG,"Columbus, GA: Columbus Airport",20,3,1.2699999809265137,0,1.3799999952316284,0,0.3499999940395355,0,0,117,62,0,29,0,26
9E,Endeavor Air Inc. (Delta Air Lines),CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",637,74,16.31999969482422,1.0299999713897705,18.290000915527344,0,38.36000061035156,1,0,5447,1619,121,701,0,3006
9E,Endeavor Air Inc. (Delta Air Lines),CWA,"Mosinee, WI: Central Wisconsin",62,9,4.369999885559082,0.25999999046325684,3.309999942779541,0,1.059999942779541,1,0,1494,379,231,184,0,700
9E,Endeavor Air Inc. (Delta Air Lines),DAY,"Dayton, OH: James M Cox/Dayton International",61,6,3,0,1,0,2,0,0,313,152,0,30,0,131
9E,Endeavor Air Inc. (Delta Air Lines),DCA,"Washington, DC: Ronald Reagan Washington National",183,38,8.229999542236328,1,18.049999237060547,0,10.720000267028809,0,1,1833,547,29,607,0,650
9E,Endeavor Air Inc. (Delta Air Lines),DHN,"Dothan, AL: Dothan Regional",62,9,5.159999847412109,0,1.0299999713897705,0,2.809999942779541,0,0,373,227,0,43,0,103
9E,Endeavor Air Inc. (Delta Air Lines),DSM,"Des Moines, IA: Des Moines International",226,29,7.900000095367432,0.28999999165534973,13.140000343322754,0,7.659999847412109,1,0,1408,550,42,442,0,374
9E,Endeavor Air Inc. (Delta Air Lines),DTW,"Detroit, MI: Detroit Metro Wayne County",1233,137,33.16999816894531,2.319999933242798,35.5099983215332,0,66,0,0,10760,3814,106,1558,0,5282
9E,Endeavor Air Inc. (Delta Air Lines),EVV,"Evansville, IN: Evansville Regional",24,1,0.9599999785423279,0,0,0,0.03999999910593033,0,0,179,171,0,0,0,8
9E,Endeavor Air Inc. (Delta Air Lines),EWR,"Newark, NJ: Newark Liberty International",140,22,5.440000057220459,0,12.75,0,3.809999942779541,0,0,1465,395,0,647,0,423
9E,Endeavor Air Inc. (Delta Air Lines),EYW,"Key West, FL: Key West International",31,3,0,1.659999966621399,1.340000033378601,0,0,0,0,1293,0,1241,51,0,1
9E,Endeavor Air Inc. (Delta Air Lines),FAR,"Fargo, ND: Hector International",9,1,1,0,0,0,0,0,0,64,64,0,0,0,0
9E,Endeavor Air Inc. (Delta Air Lines),FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",31,5,3.2100000381469727,0.18000000715255737,0.9200000166893005,0,0.6899999976158142,0,0,325,203,10,70,0,42
9E,Endeavor Air Inc. (Delta Air Lines),FSD,"Sioux Falls, SD: Joe Foss Field",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9E,Endeavor Air Inc. (Delta Air Lines),FWA,"Fort Wayne, IN: Fort Wayne International",33,1,0,0,1,0,0,0,0,22,0,0,22,0,0
9E,Endeavor Air Inc. (Delta Air Lines),GFK,"Grand Forks, ND: Grand Forks International",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9E,Endeavor Air Inc. (Delta Air Lines),GNV,"Gainesville, FL: Gainesville Regional",41,1,0,0,0.029999999329447746,0,0.9700000286102295,0,0,32,0,0,1,0,31
9E,Endeavor Air Inc. (Delta Air Lines),GRR,"Grand Rapids, MI: Gerald R. Ford International",79,7,0.9700000286102295,0,0.6899999976158142,0,5.340000152587891,0,0,341,29,0,20,0,292
9E,Endeavor Air Inc. (Delta Air Lines),GSO,"Greensboro/High Point, NC: Piedmont Triad International",135,16,11.289999961853027,0,1.309999942779541,0,3.4100000858306885,0,0,904,554,0,45,0,305
9E,Endeavor Air Inc. (Delta Air Lines),GSP,"Greer, SC: Greenville-Spartanburg International",105,14,1.7999999523162842,0,3.4600000381469727,0,8.739999771118164,0,0,501,68,0,91,0,342
9E,Endeavor Air Inc. (Delta Air Lines),GTR,"Columbus, MS: Golden Triangle Regional",62,4,1.559999942779541,0,1,0,1.440000057220459,0,0,93,46,0,19,0,28
9E,Endeavor Air Inc. (Delta Air Lines),HPN,"White Plains, NY: Westchester County",70,8,3.9700000286102295,0,3.490000009536743,0,0.5400000214576721,0,0,319,186,0,104,0,29
9E,Endeavor Air Inc. (Delta Air Lines),HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",33,3,2.640000104904175,0,0.36000001430511475,0,0,0,0,288,267,0,21,0,0
9E,Endeavor Air Inc. (Delta Air Lines),IAD,"Washington, DC: Washington Dulles International",87,9,1.409999966621399,0.6399999856948853,5.650000095367432,0,1.2999999523162842,0,0,504,243,21,181,0,59
9E,Endeavor Air Inc. (Delta Air Lines),ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",16,2,2,0,0,0,0,0,0,58,58,0,0,0,0
9E,Endeavor Air Inc. (Delta Air Lines),ILM,"Wilmington, NC: Wilmington International",64,6,2.130000114440918,0,0.12999999523162842,0,3.740000009536743,0,0,253,61,0,4,0,188
9E,Endeavor Air Inc. (Delta Air Lines),IND,"Indianapolis, IN: Indianapolis International",263,30,4.809999942779541,0,11.829999923706055,0,13.359999656677246,0,0,1498,321,0,487,0,690
9E,Endeavor Air Inc. (Delta Air Lines),ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",62,11,1.4199999570846558,1.409999966621399,2.9600000381469727,0,5.210000038146973,0,0,1252,54,578,109,0,511
9E,Endeavor Air Inc. (Delta Air Lines),JAX,"Jacksonville, FL: Jacksonville International",108,16,5.28000020980835,0,4.550000190734863,0,6.159999847412109,0,0,728,128,0,155,0,445
9E,Endeavor Air Inc. (Delta Air Lines),JFK,"New York, NY: John F. Kennedy International",1471,224,57.06999969482422,8.84000015258789,94.33000183105469,0.7900000214576721,62.970001220703125,3,3,18542,6655,673,6469,19,4726
9E,Endeavor Air Inc. (Delta Air Lines),LAN,"Lansing, MI: Capital Region International",7,2,1,1,0,0,0,0,0,118,31,87,0,0,0
9E,Endeavor Air Inc. (Delta Air Lines),LEX,"Lexington, KY: Blue Grass",44,5,3,0,2,0,0,0,1,216,178,0,38,0,0
9E,Endeavor Air Inc. (Delta Air Lines),LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",88,11,5.190000057220459,0,5.809999942779541,0,0,0,0,397,233,0,164,0,0
9E,Endeavor Air Inc. (Delta Air Lines),LGA,"New York, NY: LaGuardia",2770,350,77.86000061035156,11.430000305175781,142.1199951171875,0,118.58999633789062,1,8,24767,8290,697,7328,0,8452
9E,Endeavor Air Inc. (Delta Air Lines),LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",10,1,0.11999999731779099,0,0,0,0.8799999952316284,0,0,17,2,0,0,0,15
9E,Endeavor Air Inc. (Delta Air Lines),MCI,"Kansas City, MO: Kansas City International",133,10,5.829999923706055,0,0.6800000071525574,0,3.490000009536743,0,1,701,539,0,39,0,123
9E,Endeavor Air Inc. (Delta Air Lines),MDT,"Harrisburg, PA: Harrisburg International",50,3,2,0,0.30000001192092896,0,0.699999988079071,0,0,104,44,0,18,0,42
