AirlineCode,AirCarrier,CarrierBrand,MarketingAirline
AA,American Airlines,American Airlines,American Airlines Group
YX,Republic Airline,American Eagle,American Airlines Group
MQ,Envoy Air,American Eagle,American Airlines Group
OH,PSA Airlines,American Eagle,American Airlines Group
PT,Piedmont Airlines,American Eagle,American Airlines Group
YV,Mesa Airlines Inc.,American Eagle,American Airlines Group
UA,United Airlines,United Airlines,United Airlines Group
OO,SkyWest Airlines Inc.,United Express,United Airlines Group
C5,CommuteAir LLC,United Express,United Airlines Group
ZW,Air Wisconsin Airlines Corp,United Express,United Airlines Group
G7,GoJet Airlines LLC,United Express,United Airlines Group
DL,Delta Air Lines,Delta Air Lines,Delta Air Lines Group
OO,SkyWest Airlines Inc.,Delta Connection,Delta Air Lines Group
9E,Endeavor Air Inc.,Delta Connection,Delta Air Lines Group
WN,Southwest Airlines,Southwest Airlines,Southwest Airlines
AS,Alaska Airlines,Alaska Airlines,Alaska Airlines Group
QX,Horizon Air,Alaska Airlines,Alaska Airlines Group
NK,Spirit Airlines,Spirit Airlines,Spirit Airlines
B6,JetBlue Airways,JetBlue Airways,JetBlue Airways
F9,Frontier Airlines,Frontier Airlines,Frontier Airlines
G4,Allegiant Air,Allegiant Air,Allegiant Air
HA,Hawaiian Airlines,Hawaiian Airlines,Hawaiian Airlines
